variant_id,product_id,size_label,product_name,brand,color,age_group,gender,size_type,product_type
15972101-21,15972101,M,textured finish loose fit dress,Alysi,Green,Adult,Female,regular,Clothing > Dresses > Day Dresses
15015575-19,15015575,8 UK,metallic mini skirt,Alexa Chung,SILVER,Adult,Female,regular,Clothing > Skirts > High-Waisted Skirts
14516134-31,14516134,41 IT,side embroidered birds sneakers,Axel Arigato,White,Adult,Female,regular,Shoes > Trainers
14577988-17,14577988,One Size,square cascade crystal earrings,Alessandra Rich,Metallic,Adult,Female,regular,Jewellery > Earrings
14796330-22,14796330,L,logo knitted top,A.P.C.,Blue,Adult,Female,regular,Clothing > Knitwear > Knitted Tops
14924756-42,14924756,53.8 MM,crystal embellished double ring,Alexander McQueen,GOLD,Adult,Female,regular,Jewellery > Rings
14505130-20,14505130,S,embroidered detail jumper,A-COLD-WALL*,Neutrals,Adult,Male,regular,Clothing > Sweatshirts & Knitwear > Jumpers
14173085-17,14173085,0 US,fitted blazer,Adam Lippes,Green,Adult,Female,regular,Clothing > Jackets > Blazers
14838238-25,14838238,40 IT,oversized lace-up ankle boots,Alexander McQueen,Black,Adult,Male,regular,Shoes > Boots
14987398-20,14987398,S,block painted-print cotton sweatshirt,A-COLD-WALL*,Neutrals,Adult,Male,regular,Clothing > Sweatshirts & Knitwear > Sweatshirts
